year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2126.0,21.0,2147.0,2347.0,17.0,0,120.0,825,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1749.0,33.0,1822.0,2129.0,7.0,0,367.0,2724,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,754.0,14.0,808.0,1120.0,4.0,0,372.0,2700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1535.0,21.0,1556.0,1831.0,9.0,0,155.0,1258,0,37
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2145.0,32.0,2217.0,110.0,11.0,0,173.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2114.0,15.0,2129.0,4.0,8.0,0,155.0,1194,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2101.0,18.0,2119.0,2353.0,6.0,0,154.0,1089,0,19
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1141.0,23.0,1204.0,1420.0,4.0,0,136.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,948.0,13.0,1001.0,1233.0,9.0,0,152.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1505.0,18.0,1523.0,1746.0,9.0,0,143.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1850.0,15.0,1905.0,2124.0,4.0,0,319.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,629.0,12.0,641.0,910.0,9.0,0,329.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1022.0,27.0,1049.0,1333.0,6.0,0,164.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1302.0,19.0,1321.0,1446.0,5.0,0,85.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1507.0,21.0,1528.0,1753.0,4.0,0,205.0,1501,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,839.0,15.0,854.0,1023.0,6.0,0,89.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,714.0,12.0,726.0,856.0,7.0,0,90.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1418.0,20.0,1438.0,1652.0,7.0,0,134.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,920.0,11.0,931.0,1006.0,7.0,0,35.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,838.0,18.0,856.0,1114.0,6.0,0,138.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1857.0,16.0,1913.0,2158.0,8.0,0,285.0,2088,0,0
